都道府県,市区町村,環境基本計画,区域施策編,事務事業編等,備考・根拠,確度
青森県,むつ市,確認できず,確認できず,あり(区分不明),「むつ市地球温暖化対策推進実行計画」2023-07-13掲載。総合経営計画に環境分野を包含,中
青森県,平内町,なし(単独計画なし),なし,あり(事務事業編),R2.3策定 R2-R6年度 H30比10%減。環境分野は第六次長期振興計画に包含,高
青森県,今別町,確認できず,確認できず,確認できず,第6次総合計画で脱炭素に言及,中
青森県,蓬田村,確認できず,確認できず,確認できず,村HP「政策・計画・条例」に該当計画の掲載を確認できず,中
青森県,藤崎町,確認できず,策定済,あり(一体策定),「藤崎町地球温暖化対策実行計画」2025年度策定/計画期間2026-2030/区域施策編・事務事業編・地域気候変動適応計画を一体化,高
青森県,大鰐町,確認できず,確認できず,確認できず,町HPの計画一覧に該当計画なし,中
青森県,田舎館村,確認できず,確認できず,確認できず,,低
青森県,板柳町,確認できず,確認できず,確認できず,,中
青森県,野辺地町,確認できず,確認できず,確認できず,,中
青森県,六戸町,確認できず,確認できず,確認できず,第5次総合振興計画(2021-2030)のみ,中
青森県,横浜町,確認できず,確認できず,確認できず,検索が横浜市に埋没し判定困難,低
青森県,おいらせ町,確認できず,確認できず,確認できず,地域新エネルギービジョンへの言及あり,中
青森県,大間町,確認できず,確認できず,あり(区分不明),「第2次大間町地球温暖化対策実行計画」住民福祉課所管,中
青森県,風間浦村,確認できず,確認できず,確認できず,ブルーカーボン重点調査地区(R6),中
青森県,田子町,確認できず,なし,あり(事務事業編),H24-H28年度 H22比6%減,高
青森県,南部町,確認できず,確認できず,確認できず,第2次総合振興計画に「環境と共生」の基本目標,中
青森県,階上町,確認できず,確認できず,あり(率先行動計画),「階上町環境保全率先行動計画」(事務事業編相当),中
青森県,新郷村,確認できず,確認できず,あり(事務事業編),R3-R5年度の実績を公表,中
茨城県,美浦村,確認できず,確認できず,あり(事務事業編),「第4次美浦村地球温暖化対策実行計画」2020-12-03掲載,高
茨城県,八千代町,確認できず,確認できず,確認できず,第6次総合計画のみ,中
茨城県,潮来市,確認できず,確認できず,確認できず,環境課あり。第7次総合計画・災害廃棄物処理計画は公表,中
茨城県,境町,確認できず,確認できず,確認できず,,中
茨城県,河内町,確認できず,確認できず,あり(事務事業編),「河内町地球温暖化対策実行計画(事務事業編)」町HPで公表,高
秋田県,仙北市,確認できず,確認できず,あり(事務事業編),H30.4策定 R6.4見直し。生活環境課所管,高
秋田県,上小阿仁村,確認できず,確認できず,確認できず,,中
秋田県,藤里町,確認できず,確認できず,確認できず,,中
秋田県,八峰町,確認できず,確認できず,あり(温暖化防止対策実行計画),再エネ施設建設ガイドラインを別途策定,中
秋田県,五城目町,条例あり/計画は確認できず,確認できず,確認できず,環境基本条例で環境審議会が環境基本計画を審議する旨を規定。計画本体は未確認,中
秋田県,井川町,確認できず,確認できず,確認できず,第五次総合振興計画(R3.3)のみ,中
秋田県,美郷町,確認できず,確認できず,あり(事務事業編),第1期H21.11/第2期H27.3/第3期R2.4。R12年度までにH25比50%減,高
秋田県,羽後町,確認できず,確認できず,あり(温暖化防止実行計画),「第3次羽後町地球温暖化防止実行計画」,中
福島県,国見町,確認できず,確認できず,確認できず,再エネ発電事業との調和に関する条例を制定。住民防災課が温暖化対策所管,中
福島県,大玉村,確認できず,確認できず,確認できず,村HP「各種計画」に該当計画なし,中
福島県,下郷町,確認できず,確認できず,確認できず,第7次総合計画のみ,中
福島県,檜枝岐村,確認できず,確認できず,確認できず,第四次振興計画・過疎地域持続的発展計画のみ,中
福島県,只見町,確認できず,確認できず,あり(区分不明),町HP「環境関連の計画」に地球温暖化対策実行計画を掲載,中
福島県,猪苗代町,確認できず,確認できず,あり(事務事業編),「第3次猪苗代町地球温暖化対策実行計画」R3.3策定 R8年度までH25比12.8%減,高
福島県,湯川村,確認できず,確認できず,確認できず,村HP「各種計画」に該当計画なし,中
福島県,柳津町,確認できず,確認できず,あり(事務事業編),R4.1改定。R4.12にゼロカーボンシティ宣言,高
福島県,金山町,確認できず,確認できず,確認できず,同名の山形県金山町の計画が検索上位に出るため要注意,低
福島県,昭和村,確認できず,確認できず,確認できず,村HP「各種計画」に該当計画なし,中
福島県,泉崎村,確認できず,確認できず,確認できず,第6次総合振興計画のみ,中
福島県,塙町,確認できず,確認できず,あり(事務事業編),H29年度基準 2030年度40%減。省エネ診断も実施,高
福島県,鮫川村,確認できず,確認できず,確認できず,H17からバイオマスの里構想を推進,中
福島県,小野町,確認できず,確認できず,確認できず,H21年度地域新エネルギービジョンを策定,中
福島県,富岡町,確認できず,確認できず,確認できず,,中
